disease	drug	proximity	pval
Alzheimer Disease	2-mercaptobenzothiazole	2	0.78550112
Alzheimer Disease	5-o-phosphono-alpha-d-ribofuranosyl diphosphate	1.333333333	0.803800279
Alzheimer Disease	abaloparatide	0	0.02169323
Alzheimer Disease	abarelix	1	0.202043333
Alzheimer Disease	abatacept	1	0.304500812
Alzheimer Disease	abciximab	0.923076923	0.195281093
Alzheimer Disease	abemaciclib	1	0.781997513
Alzheimer Disease	abiraterone	0	0.001163293
Alzheimer Disease	acalabrutinib	1	0.696022825
Alzheimer Disease	acamprosate	1.047619048	0.038478806
Alzheimer Disease	acarbose	1.5	0.744588018
Alzheimer Disease	acebutolol	0	0.001507984
Alzheimer Disease	aceclofenac	0	0.001143402
Alzheimer Disease	acemetacin	0	0.00045416
Alzheimer Disease	acenocoumarol	0	0.008929131
Alzheimer Disease	acetaminophen	0.5	0.014927685
Alzheimer Disease	acetazolamide	1.142857143	0.309479965
Alzheimer Disease	acetohexamide	1	0.435697354
Alzheimer Disease	acetohydroxamic acid	1	0.348391344
Alzheimer Disease	acetophenazine	0	0.000437963
Alzheimer Disease	acetylcholine	0.333333333	7.53E-05
Alzheimer Disease	acetylcysteine	0.7	0.045105179
Alzheimer Disease	acetyldigitoxin	1	0.615393999
Alzheimer Disease	acetylsalicylic acid	0.5	6.30E-08
Alzheimer Disease	acitretin	0.142857143	1.70E-07
Alzheimer Disease	aclidinium	0.8	0.038650075
Alzheimer Disease	acrivastine	1	0.427763274
Alzheimer Disease	adalimumab	0	0.034338783
Alzheimer Disease	adapalene	0	1.34E-09
Alzheimer Disease	ademetionine	0.75	0.021442223
Alzheimer Disease	adenine	1	0.361204729
Alzheimer Disease	adenosine	1.25	0.592954538
Alzheimer Disease	adenosine phosphate	0.866666667	0.088398339
Alzheimer Disease	afamelanotide	2	0.997350459
Alzheimer Disease	afatinib	0.666666667	0.000143541
Alzheimer Disease	aflibercept	0.666666667	0.069961219
Alzheimer Disease	agkistrodon piscivorus antivenin	1	0.247143433
Alzheimer Disease	agomelatine	0.666666667	0.088082568
Alzheimer Disease	ajmaline	1	0.60137381
Alzheimer Disease	albendazole	1	0.643348413
Alzheimer Disease	albiglutide	1	0.629927932
Alzheimer Disease	albutrepenonacog alfa	0	0.000370198
Alzheimer Disease	alcaftadine	1	0.410657975
Alzheimer Disease	alclofenac	0	0.011309699
Alzheimer Disease	aldesleukin	0.666666667	0.056609967
Alzheimer Disease	alectinib	1	0.667945863
Alzheimer Disease	alefacept	1.1	0.706865064
Alzheimer Disease	alemtuzumab	1.2	0.741862098
Alzheimer Disease	alendronic acid	0.6	0.03003023
Alzheimer Disease	alfacalcidol	0	0.00374932
Alzheimer Disease	alfentanil	1	0.679454089
Alzheimer Disease	alfuzosin	0.75	0.144583399
Alzheimer Disease	alglucosidase alfa	0	0.003304639
Alzheimer Disease	alimemazine	1	0.522136137
Alzheimer Disease	alirocumab	0	0.014248942
Alzheimer Disease	aliskiren	0	0.027471422
Alzheimer Disease	alitretinoin	0.222222222	2.21E-07
Alzheimer Disease	allopurinol	1	0.354699354
Alzheimer Disease	almitrine	1	0.56945295
Alzheimer Disease	almotriptan	1.5	0.638795271
Alzheimer Disease	alogliptin	0	0.000143541
Alzheimer Disease	alosetron	1	0.399942923
Alzheimer Disease	alpelisib	0	0.013955718
Alzheimer Disease	alpha-1-proteinase inhibitor	1	0.590280184
Alzheimer Disease	alpha-linolenic acid	0.4	9.16E-06
Alzheimer Disease	alpha-tocopherol succinate	1	0.357381781
Alzheimer Disease	alprazolam	1.214285714	0.107764474
Alzheimer Disease	alprostadil	0.666666667	0.01453463
Alzheimer Disease	alteplase	0.25	0.000955059
Alzheimer Disease	aluminium	0.25	0.003484761
Alzheimer Disease	aluminium phosphate	0.25	0.000102399
Alzheimer Disease	aluminum acetate	0.25	0.006016778
Alzheimer Disease	aluminum chloride	0	0.016708873
Alzheimer Disease	alverine	1	0.483063995
Alzheimer Disease	alvimopan	0.666666667	0.0888716
Alzheimer Disease	amantadine	0	1.15E-06
Alzheimer Disease	ambenonium	0	0.003059102
Alzheimer Disease	ambrisentan	0	0.000361586
Alzheimer Disease	amcinonide	0.5	0.008929131
Alzheimer Disease	amifampridine	2	0.975899681
Alzheimer Disease	amifostine	1	0.10264167
Alzheimer Disease	amiloride	1	0.341601728
Alzheimer Disease	aminocaproic acid	0	0.000149427
Alzheimer Disease	aminoglutethimide	0.5	0.035963349
Alzheimer Disease	aminolevulinic acid	1	0.511971915
Alzheimer Disease	aminophylline	1	0.34549625
Alzheimer Disease	aminosalicylic acid	0	0.001028702
Alzheimer Disease	amiodarone	0.571428571	0.003297837
Alzheimer Disease	amisulpride	0	1.99E-07
Alzheimer Disease	amitriptyline	0.78125	6.01E-05
Alzheimer Disease	amlexanox	0.5	0.013642579
Alzheimer Disease	amlodipine	0.714285714	0.012123572
Alzheimer Disease	amobarbital	1	0.051687461
Alzheimer Disease	amodiaquine	0	0.021971111
Alzheimer Disease	amoxapine	0.780487805	1.25E-08
Alzheimer Disease	amphetamine	0.411764706	3.51E-08
Alzheimer Disease	ampicillin	1.333333333	0.47333206
Alzheimer Disease	amrinone	0.75	0.136357665
Alzheimer Disease	amsacrine	0.75	0.261616613
Alzheimer Disease	amyl nitrite	1	0.466065878
Alzheimer Disease	amylmetacresol	1	0.366478412
Alzheimer Disease	amylocaine	1.285714286	0.661681393
Alzheimer Disease	anagrelide	1	0.638534927
Alzheimer Disease	anakinra	0	0.005026772
Alzheimer Disease	anastrozole	0	0.007713034
Alzheimer Disease	ancestim	1	0.690579534
Alzheimer Disease	ancrod	0	0.038314193
Alzheimer Disease	andexanet alfa	1	0.59334829
Alzheimer Disease	angiotensin ii	0	0.001418066
Alzheimer Disease	anileridine	1	0.610462984
Alzheimer Disease	anisindione	1	0.527362905
Alzheimer Disease	anisotropine methylbromide	0.333333333	0.005346886
Alzheimer Disease	anistreplase	0.25	0.000202811
Alzheimer Disease	antazoline	1	0.445193556
Alzheimer Disease	anthralin	1	0.464840006
Alzheimer Disease	anti-inhibitor coagulant complex	0.125	9.93E-11
Alzheimer Disease	"antihemophilic factor (recombinant), pegylated"	0	0.003304639
Alzheimer Disease	antihemophilic factor human	0.5	0.029417335
Alzheimer Disease	"antihemophilic factor, human recombinant"	0.454545455	0.000196542
Alzheimer Disease	antipyrine	0	0.004082163
Alzheimer Disease	antithrombin alfa	0	4.96E-05
Alzheimer Disease	antithrombin iii human	0	0.013406149
Alzheimer Disease	antithymocyte immunoglobulin (rabbit)	0.888888889	0.253285901
Alzheimer Disease	antrafenine	0	0.00157643
Alzheimer Disease	apalutamide	1.214285714	0.250656558
Alzheimer Disease	apixaban	0	0.000697973
Alzheimer Disease	apomorphine	0.4	8.60E-07
Alzheimer Disease	apraclonidine	0	2.04E-05
Alzheimer Disease	aprepitant	1	0.351808317
Alzheimer Disease	aprotinin	0.5	0.009406676
Alzheimer Disease	arbutamine	0	0.000435574
Alzheimer Disease	arbutin	2	0.855913736
Alzheimer Disease	ardeparin	0.5	0.049300157
Alzheimer Disease	arformoterol	0	0.092312258
Alzheimer Disease	argatroban	0	0.01684862
Alzheimer Disease	aripiprazole	0.604651163	6.51E-13
Alzheimer Disease	aripiprazole lauroxil	0.56	4.65E-09
Alzheimer Disease	armodafinil	0	0.008116575
Alzheimer Disease	arsenic trioxide	0.4	0.022156469
Alzheimer Disease	ascorbic acid	1.043478261	0.206247965
Alzheimer Disease	asenapine	0.368421053	2.68E-09
Alzheimer Disease	asfotase alfa	1	0.608508994
Alzheimer Disease	asparagine	0.833333333	0.098385344
Alzheimer Disease	aspartic acid	1.1	0.799118016
Alzheimer Disease	astemizole	0.75	0.177185861
Alzheimer Disease	atenolol	0	0.002858644
Alzheimer Disease	atezolizumab	1	0.311810558
Alzheimer Disease	atomoxetine	0.636363636	0.015477541
Alzheimer Disease	atorvastatin	0.4	5.62E-05
Alzheimer Disease	atosiban	1	0.300283482
Alzheimer Disease	atovaquone	1	0.539827837
Alzheimer Disease	atracurium besylate	1	0.228564135
Alzheimer Disease	atropine	0.571428571	0.00141293
Alzheimer Disease	auranofin	0.5	0.038314193
Alzheimer Disease	aurothioglucose	2	0.982588118
Alzheimer Disease	avanafil	1	0.247443801
Alzheimer Disease	avatrombopag	0.5	0.040851018
Alzheimer Disease	avelumab	1	0.282829544
Alzheimer Disease	axicabtagene ciloleucel	1	0.585053801
Alzheimer Disease	axitinib	0.666666667	0.076002847
Alzheimer Disease	azacitidine	0	0.013955718
Alzheimer Disease	azatadine	1	0.373377353
Alzheimer Disease	azathioprine	1	0.649739786
Alzheimer Disease	azelaic acid	2	0.852449979
Alzheimer Disease	azelastine	1	0.229256659
Alzheimer Disease	azilsartan medoxomil	0	0.006502383
Alzheimer Disease	azithromycin	1	0.528933159
Alzheimer Disease	bacitracin	0	0.000423244
Alzheimer Disease	baclofen	1.5	0.960015745
Alzheimer Disease	balsalazide	0	1.61E-06
Alzheimer Disease	baricitinib	0.75	0.385403974
Alzheimer Disease	basiliximab	0.916666667	0.159707835
Alzheimer Disease	becaplermin	0	0.000334465
Alzheimer Disease	belatacept	1	0.351161977
Alzheimer Disease	belimumab	1	0.402765433
Alzheimer Disease	belinostat	1	0.969843095
Alzheimer Disease	bemiparin	0.333333333	0.003676569
Alzheimer Disease	benazepril	0	0.025214846
Alzheimer Disease	bendazac	0	0.000606114
Alzheimer Disease	bendroflumethiazide	0.6	0.007855241
Alzheimer Disease	benralizumab	1	0.460172163
Alzheimer Disease	benserazide	1	0.300046718
Alzheimer Disease	benzatropine	0.4	0.001247614
Alzheimer Disease	benzocaine	2	0.792514283
Alzheimer Disease	benzoic acid	1	0.142905399
Alzheimer Disease	benzonatate	1	0.667945863
Alzheimer Disease	benzphetamine	0.25	0.001448752
Alzheimer Disease	benzthiazide	0.666666667	0.026411615
Alzheimer Disease	benzylpenicillin	2	0.807776323
Alzheimer Disease	benzylpenicilloyl polylysine	1.5	0.900917275
Alzheimer Disease	bepotastine	1	0.43054705
Alzheimer Disease	bepridil	0.8	0.023223232
Alzheimer Disease	berberine	1	0.685059521
Alzheimer Disease	betahistine	1	0.145366381
Alzheimer Disease	betaxolol	0	0.002263869
Alzheimer Disease	betazole	2	0.716771724
Alzheimer Disease	bethanechol	0.5	0.010191535
Alzheimer Disease	bethanidine	0.285714286	0.000101054
Alzheimer Disease	betrixaban	0	0.018735328
Alzheimer Disease	bevacizumab	1	0.431466303
Alzheimer Disease	bexarotene	0	5.12E-05
Alzheimer Disease	bezafibrate	0	6.35E-11
Alzheimer Disease	bicalutamide	0	0.193738942
Alzheimer Disease	bilastine	1	0.400760484
Alzheimer Disease	bimatoprost	0	0.00020483
Alzheimer Disease	binimetinib	0.2	6.43E-05
Alzheimer Disease	bioallethrin	1.071428571	0.031786274
Alzheimer Disease	biotin	1	0.564114076
Alzheimer Disease	biperiden	0.5	0.015931411
Alzheimer Disease	bisoprolol	0	0.001378237
Alzheimer Disease	bivalirudin	0	0.011309699
Alzheimer Disease	bleomycin	0	0.002476499
Alzheimer Disease	blinatumomab	1	0.712711693
Alzheimer Disease	bortezomib	1	0.811101348
Alzheimer Disease	bosentan	0	0.000914993
Alzheimer Disease	bosutinib	0.5	0.000298104
Alzheimer Disease	botulinum toxin type a	0.5	0.072492415
Alzheimer Disease	botulinum toxin type b	0.666666667	0.155422539
Alzheimer Disease	bremelanotide	1.8	0.996484624
Alzheimer Disease	brentuximab vedotin	1	0.466371695
Alzheimer Disease	bretylium	1	0.622825128
Alzheimer Disease	brexanolone	1.307692308	0.346876851
Alzheimer Disease	brexpiprazole	0.6	0.012540565
Alzheimer Disease	brigatinib	0.666666667	0.10952811
Alzheimer Disease	brimonidine	0.333333333	0.002266313
Alzheimer Disease	brinzolamide	1	0.065231635
Alzheimer Disease	brivaracetam	1.272727273	0.488564511
Alzheimer Disease	brolucizumab	0	0.001385596
Alzheimer Disease	bromazepam	1.266666667	0.248420309
Alzheimer Disease	bromfenac	0	0.001514952
Alzheimer Disease	bromocriptine	0.444444444	3.12E-07
Alzheimer Disease	bromodiphenhydramine	1	0.356003852
Alzheimer Disease	brompheniramine	0.833333333	0.04129361
Alzheimer Disease	buclizine	0.5	0.038363253
Alzheimer Disease	budesonide	0.5	0.019968885
Alzheimer Disease	bufexamac	0.5	0.039170436
Alzheimer Disease	bumetanide	1.4	0.824721633
Alzheimer Disease	bupivacaine	1	0.216710965
Alzheimer Disease	buprenorphine	0.5	0.006301495
Alzheimer Disease	bupropion	0.5	0.009947801
Alzheimer Disease	buserelin	0.5	0.050853179
Alzheimer Disease	buspirone	0.428571429	0.000135969
Alzheimer Disease	butabarbital	1.117647059	0.087663858
Alzheimer Disease	butalbital	1.117647059	0.07457992
Alzheimer Disease	butamben	1	0.006280928
Alzheimer Disease	butenafine	2	0.91080438
Alzheimer Disease	butobarbital	1	0.048491809
Alzheimer Disease	butorphanol	0.666666667	0.163114894
Alzheimer Disease	butriptyline	0.333333333	0.005172744
Alzheimer Disease	butylscopolamine	0.5	0.056074228
Alzheimer Disease	cabazitaxel	1	0.701397079
Alzheimer Disease	cabergoline	0.4	2.90E-09
Alzheimer Disease	cabozantinib	0.333333333	0.006428897
Alzheimer Disease	caffeine	1.15625	0.432302366
Alzheimer Disease	calcifediol	0	0.030499728
Alzheimer Disease	calcipotriol	0	0.019968885
Alzheimer Disease	calcitriol	0.5	0.081999686
Alzheimer Disease	calcium	0.842105263	0.069740301
Alzheimer Disease	calcium carbimide	2	0.67062989
Alzheimer Disease	calcium chloride	1	0.601210972
Alzheimer Disease	calcium citrate	0.935483871	0.240534362
Alzheimer Disease	calcium levulinate	1.5	0.909409519
Alzheimer Disease	calcium phosphate	0.935483871	0.188032217
Alzheimer Disease	calcium phosphate dihydrate	0.935483871	0.202853136
Alzheimer Disease	camphor	1.75	0.94276992
Alzheimer Disease	canakinumab	0	0.013228375
Alzheimer Disease	candesartan cilexetil	0	0.004445649
Alzheimer Disease	cangrelor	0	0.000212122
Alzheimer Disease	cannabidiol	0.789473684	5.63E-05
Alzheimer Disease	cantharidin	0	0.005026772
Alzheimer Disease	capecitabine	0	0.001418066
Alzheimer Disease	caplacizumab	0	0.000697973
Alzheimer Disease	capromab pendetide	1	0.315813876
Alzheimer Disease	capsaicin	1	0.603748256
Alzheimer Disease	capsicum oleoresin	1	0.5
Alzheimer Disease	captopril	0.4	0.004132491
Alzheimer Disease	carbamazepine	1	0.216321451
Alzheimer Disease	carbamoylcholine	0.5	0.000252229
Alzheimer Disease	carbetocin	1	0.326585214
Alzheimer Disease	carbidopa	1	0.306798606
Alzheimer Disease	carbimazole	2	0.756961618
Alzheimer Disease	carbinoxamine	1	0.484989797
Alzheimer Disease	carbocisteine	0	0.050914336
Alzheimer Disease	carbon monoxide	1	0.327055036
Alzheimer Disease	carboprost tromethamine	0	0.03295122
Alzheimer Disease	carboxin	1	0.673753328
Alzheimer Disease	carboxymethylcellulose	0	0.004752629
Alzheimer Disease	carfilzomib	0.833333333	0.528557187
Alzheimer Disease	carglumic acid	1	0.622825128
Alzheimer Disease	cariprazine	0.5	0.003800369
Alzheimer Disease	carisoprodol	1.2	0.378054034
Alzheimer Disease	carmustine	0	0.011309699
Alzheimer Disease	carprofen	0	0.003659981
Alzheimer Disease	carteolol	0	0.002927344
Alzheimer Disease	carvedilol	0.444444444	1.68E-06
Alzheimer Disease	castor oil	0	0.000832077
Alzheimer Disease	catridecacog	1	0.181338933
Alzheimer Disease	catumaxomab	1.285714286	0.899436326
Alzheimer Disease	cefazolin	0.333333333	0.001731031
Alzheimer Disease	cefdinir	0	0.023012062
Alzheimer Disease	cefotaxime	1.5	0.663839299
Alzheimer Disease	ceftriaxone	1.666666667	0.663830713
Alzheimer Disease	celecoxib	0.75	0.128730786
Alzheimer Disease	celiprolol	0.166666667	2.21E-06
Alzheimer Disease	cemiplimab	1	0.408255468
Alzheimer Disease	cenegermin	0	0.023296852
Alzheimer Disease	ceritinib	1	0.701397079
Alzheimer Disease	cerivastatin	0	0.03810181
Alzheimer Disease	cerliponase alfa	0	0.000778463
Alzheimer Disease	certolizumab pegol	0	0.050914336
Alzheimer Disease	ceruletide	2	0.782538481
Alzheimer Disease	cetirizine	1	0.493643286
Alzheimer Disease	cetrorelix	0.5	0.018246327
Alzheimer Disease	cetuximab	1	0.404609985
Alzheimer Disease	cevimeline	0.5	0.046014821
Alzheimer Disease	chenodeoxycholic acid	0.666666667	0.026128671
Alzheimer Disease	chloramphenicol	1	0.565406593
Alzheimer Disease	chlorcyclizine	1	0.347980766
Alzheimer Disease	chlordiazepoxide	1.307692308	0.291464128
Alzheimer Disease	chlorhexidine	0	0.01359838
Alzheimer Disease	chlormerodrin	1	0.299250904
Alzheimer Disease	chlormezanone	0	0.012428583
Alzheimer Disease	chlorobutanol	1	0.580471939
Alzheimer Disease	chloroprocaine	0.75	0.065344369
Alzheimer Disease	chloroquine	0	6.04E-05
Alzheimer Disease	chlorothiazide	0.666666667	0.091945855
Alzheimer Disease	chlorpheniramine	0.5	0.00501309
Alzheimer Disease	chlorpromazine	0.5	2.06E-08
Alzheimer Disease	chlorpropamide	0	0.011614785
Alzheimer Disease	chlorprothixene	0.5	1.82E-05
Alzheimer Disease	chlorthalidone	0.5	0.034943627
Alzheimer Disease	chlorzoxazone	0	0.005120837
Alzheimer Disease	cholecalciferol	0	0.013955718
Alzheimer Disease	cholecystokinin	1	0.638541165
Alzheimer Disease	cholesterol	0.666666667	0.174229343
