drug	disease.x	proximity.x	pval.x	similarity.x	adjusted_similarity.x	disease.y	proximity.y	pval.y	similarity.y	adjusted_similarity.y
"antihemophilic factor (recombinant), pegylated"	Alzheimer Disease	0	0.003304639	1	0.916996180685167	Alzheimer Disease	0	0.003304639	1	0.916996180685167
"antihemophilic factor, human recombinant"	Alzheimer Disease	0.454545455	0.000196542	0.88636363625	0.780032031554293	Amyloid Neuropathies	1.727272727	0.002557689	0.56818181825	0.479146301042743
"antihemophilic factor, human recombinant"	Alzheimer Disease	0.454545455	0.000196542	0.88636363625	0.780032031554293	Alzheimer Disease	0.454545455	0.000196542	0.88636363625	0.780032031554293
abaloparatide	Alzheimer Disease	0	0.02169323	1	0.999498689431439	Alzheimer Disease	0	0.02169323	1	0.999498689431439
abiraterone	Alzheimer Disease	0	0.001163293	1	0.999498689431439	Alzheimer Disease	0	0.001163293	1	0.999498689431439
acamprosate	Alzheimer Disease	1.047619048	0.038478806	0.738095238	0.446003656694172	Memory Disorders	1.476190476	3.4e-07	0.630952381	0.216147553293224
acamprosate	Alzheimer Disease	1.047619048	0.038478806	0.738095238	0.446003656694172	Language Disorders	1.761904762	0.009237845	0.5595238095	0.529605632186958
acamprosate	Alzheimer Disease	1.047619048	0.038478806	0.738095238	0.446003656694172	Alzheimer Disease	1.047619048	0.038478806	0.738095238	0.446003656694172
acebutolol	Alzheimer Disease	0	0.001507984	1	0.916996180685167	Alzheimer Disease	0	0.001507984	1	0.916996180685167
acebutolol	Alzheimer Disease	0	0.001507984	1	0.916996180685167	Amyloid Neuropathies	1.5	0.023262262	0.625	0.661048189545015
acebutolol	Alzheimer Disease	0	0.001507984	1	0.916996180685167	Language Disorders	1	0.008929131	0.75	0.475573630947114
acebutolol	Alzheimer Disease	0	0.001507984	1	0.916996180685167	Memory Disorders	0.5	0.012780076	0.875	0.759915570510543
aceclofenac	Alzheimer Disease	0	0.001143402	1	0.999498689431439	Alzheimer Disease	0	0.001143402	1	0.999498689431439
acemetacin	Alzheimer Disease	0	0.00045416	1	0.999498689431439	Alzheimer Disease	0	0.00045416	1	0.999498689431439
acenocoumarol	Alzheimer Disease	0	0.008929131	1	0.916996180685167	Alzheimer Disease	0	0.008929131	1	0.916996180685167
acenocoumarol	Alzheimer Disease	0	0.008929131	1	0.916996180685167	Amyloid Neuropathies	1	3.26e-07	0.75	0.910611085269981
acetaminophen	Alzheimer Disease	0.5	0.014927685	0.875	0.996659662454039	Alzheimer Disease	0.5	0.014927685	0.875	0.996659662454039
acetophenazine	Alzheimer Disease	0	0.000437963	1	0.916996180685167	Alzheimer Disease	0	0.000437963	1	0.916996180685167
acetophenazine	Alzheimer Disease	0	0.000437963	1	0.916996180685167	Language Disorders	0.333333333	1.59e-13	0.91666666675	0.993592688003182
acetophenazine	Alzheimer Disease	0	0.000437963	1	0.916996180685167	Memory Disorders	1	0.006073068	0.75	0.475573630947114
acetylcholine	Alzheimer Disease	0.333333333	7.53e-05	0.91666666675	0.998223773135608	Alzheimer Disease	0.333333333	7.53e-05	0.91666666675	0.998223773135608
acetylcysteine	Alzheimer Disease	0.7	0.045105179	0.825	0.657509813495278	Language Disorders	1.3	0.003282675	0.675	0.846976751536011
acetylcysteine	Alzheimer Disease	0.7	0.045105179	0.825	0.657509813495278	Memory Disorders	1.1	4.42e-05	0.725	0.413920064347205
acetylcysteine	Alzheimer Disease	0.7	0.045105179	0.825	0.657509813495278	Alzheimer Disease	0.7	0.045105179	0.825	0.657509813495278
acetylsalicylic acid	Alzheimer Disease	0.5	6.3e-08	0.875	0.996659662454039	Alzheimer Disease	0.5	6.3e-08	0.875	0.996659662454039
acitretin	Alzheimer Disease	0.142857143	1.7e-07	0.96428571425	0.999137734339707	Alzheimer Disease	0.142857143	1.7e-07	0.96428571425	0.999137734339707
acitretin	Alzheimer Disease	0.142857143	1.7e-07	0.96428571425	0.999137734339707	Memory Disorders	1.142857143	0.046743634	0.71428571425	0.388190164697243
aclidinium	Alzheimer Disease	0.8	0.038650075	0.8	0.989632625584422	Alzheimer Disease	0.8	0.038650075	0.8	0.989632625584422
adalimumab	Alzheimer Disease	0	0.034338783	1	0.916996180685167	Memory Disorders	0	0.023548759	1	0.998215649602825
