TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Postmenopausal osteoporosis 	abaloparatide	0	0.02169323	1	0.999498689431439
Angina pectoris 	abciximab	1.153846154	3.66e-20	0.7115384615	0.859658629099229
Prostate cancer 	abiraterone	0	0.001163293	1	0.999498689431439
Alcohol dependence 	acamprosate	1.761904762	0.009237845	0.5595238095	0.529605632186958
Alcohol dependence 	acamprosate	1.476190476	3.4e-07	0.630952381	0.216147553293224
Alcohol dependence 	acamprosate	1.047619048	0.038478806	0.738095238	0.446003656694172
Hypertension 	acebutolol	1	0.008929131	0.75	0.475573630947114
Hypertension 	acebutolol	0	0.001507984	1	0.916996180685167
Hypertension 	acebutolol	1.5	0.023262262	0.625	0.661048189545015
Hypertension 	acebutolol	0.5	0.012780076	0.875	0.759915570510543
Inflammation 	aceclofenac	0	0.001143402	1	0.999498689431439
Thrombosis 	acenocoumarol	0	0.008929131	1	0.916996180685167
Thrombosis 	acenocoumarol	1	3.26e-07	0.75	0.910611085269981
Pain 	acetaminophen	0.5	0.014927685	0.875	0.996659662454039
Glaucoma/ocular hypertension 	acetazolamide	1.571428571	0.021737938	0.60714285725	0.701928415156842
Diabetic complication 	acetohexamide	1	0.005026772	0.75	0.945098078077383
Bipolar disorder 	acetophenazine	0	0.000437963	1	0.916996180685167
Bipolar disorder 	acetophenazine	1	0.006073068	0.75	0.475573630947114
Bipolar disorder 	acetophenazine	0.333333333	1.59e-13	0.91666666675	0.993592688003182
Cataract 	acetylcholine	0.333333333	7.53e-05	0.91666666675	0.998223773135608
Liver disease 	acetylcysteine	0.7	0.045105179	0.825	0.657509813495278
Liver disease 	acetylcysteine	1.1	4.42e-05	0.725	0.413920064347205
Liver disease 	acetylcysteine	1.3	0.003282675	0.675	0.846976751536011
Psoriasis vulgaris 	acitretin	1.142857143	0.046743634	0.71428571425	0.388190164697243
Psoriasis vulgaris 	acitretin	0.142857143	1.7e-07	0.96428571425	0.999137734339707
Chronic obstructive pulmonary disease 	aclidinium	0.8	0.038650075	0.8	0.989632625584422
Allergic rhinitis 	acrivastine	1	0.000370198	0.75	0.945098078077383
Rheumatoid arthritis 	adalimumab	0	0.023548759	1	0.998215649602825
Rheumatoid arthritis 	adalimumab	0	0.034338783	1	0.916996180685167
Acne vulgaris 	adapalene	0	1.34e-09	1	0.999498689431439
Acne vulgaris 	adapalene	1.142857143	0.041500865	0.71428571425	0.388190164697243
Cerebrovascular ischaemia 	ademetionine	0.75	0.021442223	0.8125	0.628833714233804
Cerebrovascular ischaemia 	ademetionine	1.875	0.005916888	0.53125	0.360799904415132
Cerebrovascular ischaemia 	ademetionine	1.5	0.012605496	0.625	0.206233008902532
Paroxysmal supraventricular tachycardia 	adenosine	1.5	0.002645736	0.625	0.735272017343177
Worm infection 	albendazole	1.5	0.002325987	0.625	0.661048189545015
Allergic conjunctivitis 	alcaftadine	1	0.003059102	0.75	0.945098078077383
Rheumatoid arthritis 	alclofenac	0	0.011309699	1	0.999498689431439
Pain 	alefacept	1	1.18e-22	0.75	0.910611085269981
Multiple sclerosis 	alemtuzumab	1.1	4.26e-19	0.725	0.879794875902457
Chronic lymphocytic leukaemia 	alemtuzumab	1.1	4.26e-19	0.725	0.879794875902457
Benign prostatic hyperplasia 	alfuzosin	1	6.85e-06	0.75	0.945098078077383
Pompe disease 	alglucosidase alfa	0	0.003304639	1	0.999498689431439
Hypertension 	aliskiren	1	0.001418066	0.75	0.945098078077383
Hypertension 	aliskiren	0	0.027471422	1	0.916996180685167
Kaposi sarcoma 	alitretinoin	0.222222222	2.21e-07	0.9444444445	0.998834670243607
Kaposi sarcoma 	alitretinoin	1.222222222	0.010640049	0.6944444445	0.342237525457008
Hyperuricaemia 	allopurinol	1	0.002404635	0.75	0.939653140975545
Type-2 diabetes 	alogliptin	0	0.000143541	1	0.999498689431439
Erectile dysfunction 	alprostadil	0.666666667	0.01453463	0.83333333325	0.993726881956618
Diabetic foot ulcer 	alprostadil	0.666666667	0.01453463	0.83333333325	0.993726881956618
Pulmonary embolism 	alteplase	0.25	0.000955059	0.9375	0.855352842489066
Pulmonary embolism 	alteplase	0.75	0.00044094	0.8125	0.976247630772842
Hyperhidrosis 	aluminium	0.25	0.003484761	0.9375	0.998705144399657
Influenza A virus infection 	amantadine	1.4	0.000284584	0.65	0.250155464708731
Influenza A virus infection 	amantadine	0	1.15e-06	1	0.916996180685167
Influenza A virus infection 	amantadine	1	7.63e-11	0.75	0.945098078077383
Myasthenia gravis 	ambenonium	0	0.003059102	1	0.999498689431439
Pulmonary arterial hypertension 	ambrisentan	0	0.000361586	1	0.999498689431439
Inflammation 	amcinonide	0.5	0.008929131	0.875	0.996659662454039
Congestive heart failure 	amiloride	1.625	0.04970131	0.59375	0.159723968896025
Congestive heart failure 	amiloride	1	7.79e-07	0.75	0.945098078077383
Postoperative hemorrhage 	aminocaproic acid	1	0.021510304	0.75	0.945098078077383
Postoperative hemorrhage 	aminocaproic acid	0	0.000149427	1	0.916996180685167
Bleeding disorder 	aminocaproic acid	1	0.021510304	0.75	0.945098078077383
Bleeding disorder 	aminocaproic acid	0	0.000149427	1	0.916996180685167
Cushing disease 	aminoglutethimide	0.5	0.035963349	0.875	0.759915570510543
Cushing disease 	aminoglutethimide	1	0.000141918	0.75	0.945098078077383
Pulmonary and extrapulmonary tuberculosis 	aminosalicylic acid	0	0.001028702	1	0.916996180685167
Pulmonary and extrapulmonary tuberculosis 	aminosalicylic acid	1	0.007449774	0.75	0.939653140975545
Inflammatory bowel disease 	aminosalicylic acid	0	0.001028702	1	0.916996180685167
Inflammatory bowel disease 	aminosalicylic acid	1	0.007449774	0.75	0.939653140975545
Tachyarrhythmias 	amiodarone	0.571428571	0.003297837	0.85714285725	0.725845478306619
Tachyarrhythmias 	amiodarone	1.142857143	0.007021382	0.71428571425	0.912809330911691
Schizophrenia 	amisulpride	0.75	0.000104512	0.8125	0.628833714233804
Schizophrenia 	amisulpride	0	1.99e-07	1	0.916996180685167
Schizophrenia 	amisulpride	0.75	0.000179908	0.8125	0.97359222316186
Depression 	amitriptyline	1.71875	0.000919757	0.5703125	0.566441509984543
Depression 	amitriptyline	0.78125	6.01e-05	0.8046875	0.610423252147882
Depression 	amitriptyline	1.59375	7.71e-05	0.6015625	0.17049002908984
Respiratory tract inflammation 	amlexanox	0.5	0.013642579	0.875	0.996659662454039
Hypertension 	amlodipine	1.571428571	0.025593104	0.60714285725	0.178527656590918
Hypertension 	amlodipine	0.714285714	0.012123572	0.8214285715	0.992492293900605
Insomnia 	amobarbital	2.1	0.025202941	0.475	0.211515959642659
Insomnia 	amobarbital	1.6	0.00635841	0.6	0.168291655175903
Malaria 	amodiaquine	0	0.021971111	1	0.999498689431439
Major depressive disorder 	amoxapine	1.707317073	1.93e-06	0.57317073175	0.576095375590962
Major depressive disorder 	amoxapine	0.780487805	1.25e-08	0.80487804875	0.610876294390655
Major depressive disorder 	amoxapine	1.56097561	2.94e-07	0.6097560975	0.182392364874642
Attention deficit hyperactivity disorder 	amphetamine	0.411764706	3.51e-08	0.8970588235	0.797832952548616
Attention deficit hyperactivity disorder 	amphetamine	1.411764706	1.18e-07	0.6470588235	0.790136605766855
Attention deficit hyperactivity disorder 	amphetamine	1.058823529	4.66e-19	0.73529411775	0.439093429233738
Acute lymphoblastic leukaemia 	amsacrine	1	0.012741649	0.75	0.945098078077383
Acute lymphoblastic leukaemia 	amsacrine	1.75	0.037013208	0.5625	0.12209024541556
Rheumatoid arthritis 	anakinra	0	0.005026772	1	0.999498689431439
