disease	drug	proximity	pval	similarity	adjusted_similarity
Alzheimer Disease	"antihemophilic factor (recombinant), pegylated"	0	0.003304639	1	0.916996180685167
Alzheimer Disease	"antihemophilic factor, human recombinant"	0.454545455	0.000196542	0.88636363625	0.780032031554293
Alzheimer Disease	abaloparatide	0	0.02169323	1	0.999498689431439
Alzheimer Disease	abiraterone	0	0.001163293	1	0.999498689431439
Alzheimer Disease	acamprosate	1.047619048	0.038478806	0.738095238	0.446003656694172
Alzheimer Disease	acebutolol	0	0.001507984	1	0.916996180685167
Alzheimer Disease	aceclofenac	0	0.001143402	1	0.999498689431439
Alzheimer Disease	acemetacin	0	0.00045416	1	0.999498689431439
Alzheimer Disease	acenocoumarol	0	0.008929131	1	0.916996180685167
Alzheimer Disease	acetaminophen	0.5	0.014927685	0.875	0.996659662454039
Alzheimer Disease	acetophenazine	0	0.000437963	1	0.916996180685167
Alzheimer Disease	acetylcholine	0.333333333	7.53e-05	0.91666666675	0.998223773135608
Alzheimer Disease	acetylcysteine	0.7	0.045105179	0.825	0.657509813495278
Alzheimer Disease	acetylsalicylic acid	0.5	6.3e-08	0.875	0.996659662454039
Alzheimer Disease	acitretin	0.142857143	1.7e-07	0.96428571425	0.999137734339707
Alzheimer Disease	aclidinium	0.8	0.038650075	0.8	0.989632625584422
Alzheimer Disease	adalimumab	0	0.034338783	1	0.916996180685167
Alzheimer Disease	adapalene	0	1.34e-09	1	0.999498689431439
Alzheimer Disease	ademetionine	0.75	0.021442223	0.8125	0.628833714233804
Alzheimer Disease	afatinib	0.666666667	0.000143541	0.83333333325	0.993726881956618
Alzheimer Disease	albutrepenonacog alfa	0	0.000370198	1	0.999498689431439
Alzheimer Disease	alclofenac	0	0.011309699	1	0.999498689431439
Alzheimer Disease	alendronic acid	0.6	0.03003023	0.85	0.995123544742407
Alzheimer Disease	alfacalcidol	0	0.00374932	1	0.999498689431439
Alzheimer Disease	alglucosidase alfa	0	0.003304639	1	0.999498689431439
Alzheimer Disease	alirocumab	0	0.014248942	1	0.916996180685167
Alzheimer Disease	aliskiren	0	0.027471422	1	0.916996180685167
Alzheimer Disease	alitretinoin	0.222222222	2.21e-07	0.9444444445	0.998834670243607
Alzheimer Disease	alogliptin	0	0.000143541	1	0.999498689431439
Alzheimer Disease	alpelisib	0	0.013955718	1	0.999498689431439
Alzheimer Disease	alpha-linolenic acid	0.4	9.16e-06	0.9	0.997713004352496
Alzheimer Disease	alprostadil	0.666666667	0.01453463	0.83333333325	0.993726881956618
Alzheimer Disease	alteplase	0.25	0.000955059	0.9375	0.855352842489066
Alzheimer Disease	aluminium	0.25	0.003484761	0.9375	0.998705144399657
Alzheimer Disease	aluminium phosphate	0.25	0.000102399	0.9375	0.998705144399657
Alzheimer Disease	aluminum acetate	0.25	0.006016778	0.9375	0.998705144399657
Alzheimer Disease	aluminum chloride	0	0.016708873	1	0.916996180685167
Alzheimer Disease	amantadine	0	1.15e-06	1	0.916996180685167
Alzheimer Disease	ambenonium	0	0.003059102	1	0.999498689431439
Alzheimer Disease	ambrisentan	0	0.000361586	1	0.999498689431439
Alzheimer Disease	amcinonide	0.5	0.008929131	0.875	0.996659662454039
Alzheimer Disease	aminocaproic acid	0	0.000149427	1	0.916996180685167
Alzheimer Disease	aminoglutethimide	0.5	0.035963349	0.875	0.759915570510543
Alzheimer Disease	aminosalicylic acid	0	0.001028702	1	0.916996180685167
Alzheimer Disease	amiodarone	0.571428571	0.003297837	0.85714285725	0.725845478306619
Alzheimer Disease	amisulpride	0	1.99e-07	1	0.916996180685167
