TTD_association	drug	proximity	pval	similarity	adjusted_similarity
Postmenopausal osteoporosis 	abaloparatide	0	0.02169323	1	0.999498689431439
Prostate cancer 	abiraterone	0	0.001163293	1	0.999498689431439
Alcohol dependence 	acamprosate	1.047619048	0.038478806	0.738095238	0.446003656694172
Hypertension 	acebutolol	0	0.001507984	1	0.916996180685167
Inflammation 	aceclofenac	0	0.001143402	1	0.999498689431439
Thrombosis 	acenocoumarol	0	0.008929131	1	0.916996180685167
Pain 	acetaminophen	0.5	0.014927685	0.875	0.996659662454039
Bipolar disorder 	acetophenazine	0	0.000437963	1	0.916996180685167
Cataract 	acetylcholine	0.333333333	7.53e-05	0.91666666675	0.998223773135608
Liver disease 	acetylcysteine	0.7	0.045105179	0.825	0.657509813495278
Psoriasis vulgaris 	acitretin	0.142857143	1.7e-07	0.96428571425	0.999137734339707
Chronic obstructive pulmonary disease 	aclidinium	0.8	0.038650075	0.8	0.989632625584422
Rheumatoid arthritis 	adalimumab	0	0.034338783	1	0.916996180685167
Acne vulgaris 	adapalene	0	1.34e-09	1	0.999498689431439
Cerebrovascular ischaemia 	ademetionine	0.75	0.021442223	0.8125	0.628833714233804
Rheumatoid arthritis 	alclofenac	0	0.011309699	1	0.999498689431439
Pompe disease 	alglucosidase alfa	0	0.003304639	1	0.999498689431439
Hypertension 	aliskiren	0	0.027471422	1	0.916996180685167
Kaposi sarcoma 	alitretinoin	0.222222222	2.21e-07	0.9444444445	0.998834670243607
Type-2 diabetes 	alogliptin	0	0.000143541	1	0.999498689431439
Diabetic foot ulcer 	alprostadil	0.666666667	0.01453463	0.83333333325	0.993726881956618
Erectile dysfunction 	alprostadil	0.666666667	0.01453463	0.83333333325	0.993726881956618
Pulmonary embolism 	alteplase	0.25	0.000955059	0.9375	0.855352842489066
Hyperhidrosis 	aluminium	0.25	0.003484761	0.9375	0.998705144399657
Influenza A virus infection 	amantadine	0	1.15e-06	1	0.916996180685167
Myasthenia gravis 	ambenonium	0	0.003059102	1	0.999498689431439
Pulmonary arterial hypertension 	ambrisentan	0	0.000361586	1	0.999498689431439
Inflammation 	amcinonide	0.5	0.008929131	0.875	0.996659662454039
Postoperative hemorrhage 	aminocaproic acid	0	0.000149427	1	0.916996180685167
Bleeding disorder 	aminocaproic acid	0	0.000149427	1	0.916996180685167
Cushing disease 	aminoglutethimide	0.5	0.035963349	0.875	0.759915570510543
Inflammatory bowel disease 	aminosalicylic acid	0	0.001028702	1	0.916996180685167
Pulmonary and extrapulmonary tuberculosis 	aminosalicylic acid	0	0.001028702	1	0.916996180685167
Tachyarrhythmias 	amiodarone	0.571428571	0.003297837	0.85714285725	0.725845478306619
Schizophrenia 	amisulpride	0	1.99e-07	1	0.916996180685167
Depression 	amitriptyline	0.78125	6.01e-05	0.8046875	0.610423252147882
Respiratory tract inflammation 	amlexanox	0.5	0.013642579	0.875	0.996659662454039
Hypertension 	amlodipine	0.714285714	0.012123572	0.8214285715	0.992492293900605
Malaria 	amodiaquine	0	0.021971111	1	0.999498689431439
Major depressive disorder 	amoxapine	0.780487805	1.25e-08	0.80487804875	0.610876294390655
Attention deficit hyperactivity disorder 	amphetamine	0.411764706	3.51e-08	0.8970588235	0.797832952548616
Rheumatoid arthritis 	anakinra	0	0.005026772	1	0.999498689431439
Breast cancer 	anastrozole	0	0.007713034	1	0.916996180685167
Blood forming organ disorder 	ancrod	0	0.038314193	1	0.999498689431439
Increase blood pressure 	angiotensin ii	0	0.001418066	1	0.916996180685167
Peptic ulcer 	anisotropine methylbromide	0.333333333	0.005346886	0.91666666675	0.998223773135608
Acute coronary syndrome 	anistreplase	0.25	0.000202811	0.9375	0.855352842489066
Bleeding disorder 	anti-inhibitor coagulant complex	0.125	9.93e-11	0.96875	0.889899669963022
Thrombin deficiency 	antithrombin alfa	0	4.96e-05	1	0.999498689431439
Thrombosis 	apixaban	0	0.000697973	1	0.999498689431439
Parkinson disease 	apomorphine	0.4	8.6e-07	0.9	0.802535407328769
Intra ocular pressure reduction 	apraclonidine	0	2.04e-05	1	0.916996180685167
Bleeding disorder 	aprotinin	0.5	0.009406676	0.875	0.996659662454039
Coronary artery disease 	arbutamine	0	0.000435574	1	0.916996180685167
Deep vein thrombosis 	ardeparin	0.5	0.049300157	0.875	0.996659662454039
Thrombosis 	argatroban	0	0.01684862	1	0.999498689431439
Bipolar disorder 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Schizophrenia 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Major depressive disorder 	aripiprazole	0.604651163	6.51e-13	0.84883720925	0.709011660557655
Pediatric cancer 	armodafinil	0	0.008116575	1	0.916996180685167
Acute lymphoblastic leukaemia 	arsenic trioxide	0.4	0.022156469	0.9	0.997713004352496
Schizophrenia 	asenapine	0.368421053	2.68e-09	0.90789473675	0.814748339528598
Hypertension 	atenolol	0	0.002858644	1	0.916996180685167
Attention deficit hyperactivity disorder 	atomoxetine	0.636363636	0.015477541	0.840909091	0.69238807478022
Cardiovascular disease 	atorvastatin	0.4	5.62e-05	0.9	0.802535407328769
Poison intoxication 	atropine	0.571428571	0.00141293	0.85714285725	0.995622925786853
Organophosphate poisoning 	atropine	0.571428571	0.00141293	0.85714285725	0.995622925786853
Inflammatory arthritis 	auranofin	0.5	0.038314193	0.875	0.996659662454039
Myelodysplastic syndrome 	azacitidine	0	0.013955718	1	0.999498689431439
Skin infection 	bacitracin	0	0.000423244	1	0.916996180685167
Inflammatory bowel disease 	balsalazide	0	1.61e-06	1	0.916996180685167
Diabetic complication 	becaplermin	0	0.000334465	1	0.916996180685167
Hypertension 	benazepril	0	0.025214846	1	0.916996180685167
High blood pressure 	bendroflumethiazide	0.6	0.007855241	0.85	0.711404818907248
Obesity 	benzphetamine	0.25	0.001448752	0.9375	0.855352842489066
High blood pressure 	benzthiazide	0.666666667	0.026411615	0.83333333325	0.676022002084612
Chronic/stable angina 	bepridil	0.8	0.023223232	0.8	0.599220125721511
Hypertension 	betaxolol	0	0.002263869	1	0.916996180685167
Urinary retention 	bethanechol	0.5	0.010191535	0.875	0.996659662454039
Heart arrhythmia 	bethanidine	0.285714286	0.000101054	0.9285714285	0.843951868427611
Cerebrovascular ischaemia 	betrixaban	0	0.018735328	1	0.999498689431439
Venous thromboembolism 	betrixaban	0	0.018735328	1	0.999498689431439
Cutaneous T-cell lymphoma 	bexarotene	0	5.12e-05	1	0.999498689431439
Hyperlipidaemia 	bezafibrate	0	6.35e-11	1	0.916996180685167
Alopecia 	bimatoprost	0	0.00020483	1	0.999498689431439
