disease	GeneID
22q11 Deletion Syndrome	1283
22q11 Deletion Syndrome	1312
22q11 Deletion Syndrome	221037
22q11 Deletion Syndrome	2246
22q11 Deletion Syndrome	2255
22q11 Deletion Syndrome	2260
22q11 Deletion Syndrome	29801
22q11 Deletion Syndrome	5288
22q11 Deletion Syndrome	5297
22q11 Deletion Syndrome	54487
22q11 Deletion Syndrome	54584
22q11 Deletion Syndrome	54716
22q11 Deletion Syndrome	5625
22q11 Deletion Syndrome	5660
22q11 Deletion Syndrome	6239
22q11 Deletion Syndrome	63826
22q11 Deletion Syndrome	65078
22q11 Deletion Syndrome	6899
22q11 Deletion Syndrome	7122
22q11 Deletion Syndrome	7290
22q11 Deletion Syndrome	7353
22q11 Deletion Syndrome	7422
22q11 Deletion Syndrome	7625
22q11 Deletion Syndrome	80853
22q11 Deletion Syndrome	84864
22q11 Deletion Syndrome	9639
22q11 Deletion Syndrome	9993
46, XX Disorders of Sex Development	1035175
46, XX Disorders of Sex Development	151246
46, XX Disorders of Sex Development	23395
46, XX Disorders of Sex Development	23438
46, XX Disorders of Sex Development	23562
46, XX Disorders of Sex Development	2592
46, XX Disorders of Sex Development	268
46, XX Disorders of Sex Development	3206
46, XX Disorders of Sex Development	3207
46, XX Disorders of Sex Development	3295
46, XX Disorders of Sex Development	3975
46, XX Disorders of Sex Development	5087
46, XX Disorders of Sex Development	5428
46, XX Disorders of Sex Development	54361
46, XX Disorders of Sex Development	56652
46, XX Disorders of Sex Development	6911
46, XX Disorders of Sex Development	7476
46, XX Disorders of Sex Development	7484
46, XX Disorders of Sex Development	8192
46, XY Disorders of Sex Development	10046
46, XY Disorders of Sex Development	1586
46, XY Disorders of Sex Development	2516
46, XY Disorders of Sex Development	3293
46, XY Disorders of Sex Development	367
46, XY Disorders of Sex Development	3973
46, XY Disorders of Sex Development	55812
46, XY Disorders of Sex Development	6716
46, XY Disorders of Sex Development	7490
46, XY Disorders of Sex Development	7536
Abdomen, Acute	4210
Abdominal Abscess	1672
Abdominal Abscess	3119
Abdominal Abscess	3123
Abdominal Abscess	3952
Abdominal Abscess	3953
Abdominal Abscess	64127
Abdominal Abscess	7099
Abdominal Abscess	7124
Abdominal Neoplasms	1111
Abdominal Neoplasms	11168
Abdominal Neoplasms	11200
Abdominal Neoplasms	1288
Abdominal Neoplasms	1499
Abdominal Neoplasms	1577
Abdominal Neoplasms	158219
Abdominal Neoplasms	1728
Abdominal Neoplasms	1956
Abdominal Neoplasms	203238
Abdominal Neoplasms	2066
Abdominal Neoplasms	2067
Abdominal Neoplasms	207
Abdominal Neoplasms	2194
Abdominal Neoplasms	2322
Abdominal Neoplasms	2534
Abdominal Neoplasms	2778
Abdominal Neoplasms	2956
Abdominal Neoplasms	3164
Abdominal Neoplasms	324
Abdominal Neoplasms	329
Abdominal Neoplasms	3417
Abdominal Neoplasms	3569
Abdominal Neoplasms	3675
Abdominal Neoplasms	3685
Abdominal Neoplasms	3718
Abdominal Neoplasms	3791
Abdominal Neoplasms	3845
Abdominal Neoplasms	3897
Abdominal Neoplasms	4089
Abdominal Neoplasms	4193
Abdominal Neoplasms	4233
Abdominal Neoplasms	4292
Abdominal Neoplasms	4361
Abdominal Neoplasms	4436
Abdominal Neoplasms	4524
Abdominal Neoplasms	4548
Abdominal Neoplasms	4552
Abdominal Neoplasms	4650
Abdominal Neoplasms	4683
Abdominal Neoplasms	472
Abdominal Neoplasms	4763
Abdominal Neoplasms	5243
Abdominal Neoplasms	5286
Abdominal Neoplasms	5287
Abdominal Neoplasms	5290
Abdominal Neoplasms	55654
Abdominal Neoplasms	5579
Abdominal Neoplasms	5580
Abdominal Neoplasms	5728
Abdominal Neoplasms	57508
Abdominal Neoplasms	5783
Abdominal Neoplasms	580
Abdominal Neoplasms	5888
Abdominal Neoplasms	5889
Abdominal Neoplasms	5892
