Gene_A_Entrez ID	GeneB_Entrez_ID	data_source(s)
1	310	IntAct,PINA
1	368	IntAct,PINA
1	1026	IntAct,PINA
1	2886	IntAct,PINA
1	3958	InnateDB
1	4899	PINA
1	6606	IntAct,PINA
1	6622	IntAct,PINA
1	7083	IntAct,PINA
1	10321	HPRD,PINA
1	10549	IntAct,PINA
1	80854	IntAct,PINA
2	60	IntAct,PINA
2	250	IntAct
2	259	BioGRID,HPRD,PINA
2	292	IntAct
2	293	IntAct
2	309	HPRD
2	310	IntAct,PINA
2	347	IntAct
2	348	BioGRID,HPRD,IntAct,PINA
2	351	IntAct,PINA
2	354	HPRD,InnateDB,IntAct,PINA
2	412	IntAct
2	427	IntAct
2	476	PINA
2	498	IntAct
2	506	IntAct
2	523	IntAct
2	526	IntAct
2	566	IntAct
2	567	HPRD,PINA
2	827	IntAct
2	950	IntAct
2	998	IntAct,PINA
2	1022	IntAct,PINA
2	1026	IntAct,PINA
2	1080	PINA
2	1200	IntAct
2	1361	PINA
2	1508	HPRD
2	1510	HPRD
2	1511	IntAct
2	1558	IntAct,PINA
2	1562	IntAct,PINA
2	1583	IntAct
2	1588	IntAct
2	1650	IntAct
2	1743	IntAct
2	1990	HPRD,INstruct
2	1995	IntAct,PINA
2	2026	PINA
2	2193	IntAct,PINA
2	2597	IntAct
2	2629	IntAct
2	2639	IntAct,PINA
2	2669	IntAct,PINA
2	2720	IntAct
2	2885	IntAct,PINA
2	2990	IntAct
2	3014	IntAct,PINA
2	3163	IntAct,PINA
2	3309	HPRD,IntAct,PINA
2	3329	IntAct
2	3337	PINA
2	3437	IntAct,PINA
2	3553	HPRD,InnateDB,IntAct
2	3565	PINA
2	3586	HPRD,InnateDB,IntAct,PINA
2	3817	HPRD
2	3931	BioGRID,HPRD,PINA
2	3952	HPRD,PINA
2	3958	InnateDB
2	3964	InnateDB
2	4035	HPRD
2	4069	HPRD
2	4128	IntAct
2	4313	HPRD,InnateDB,IntAct,PINA
2	4353	IntAct
2	4653	HPRD,PINA
2	4803	HPRD,PINA
2	4846	IntAct,PINA
2	5047	BioGRID,HPRD,PINA
2	5154	HPRD
2	5155	HPRD
2	5309	InnateDB
2	5597	IntAct,PINA
2	5657	IntAct
2	5864	PINA
2	5886	IntAct,PINA
2	5908	IntAct,PINA
2	6009	IntAct,PINA
2	6462	HPRD,PINA
2	6468	PINA
2	6606	IntAct,PINA
2	7001	IntAct,PINA
2	7045	HPRD
2	7050	IntAct,PINA
2	7052	IntAct,PINA
2	7083	IntAct,PINA
2	7276	IntAct,PINA
2	7301	PINA
2	7353	IntAct,PINA
2	7372	IntAct,PINA
2	7416	IntAct
2	8626	PINA
2	8728	HPRD
2	8764	IntAct,PINA
2	8848	IntAct,PINA
2	9114	IntAct
2	9361	IntAct,PINA
2	9510	HPRD,PINA
2	10053	PINA
2	10263	IntAct,PINA
2	10376	PINA
2	10724	IntAct,PINA
2	10944	HPRD
2	11051	IntAct,PINA
2	11102	IntAct,PINA
2	11140	PINA
2	11173	IntAct,PINA
2	22976	IntAct,PINA
2	22983	IntAct,PINA
2	23154	IntAct,PINA
2	23176	IntAct,PINA
2	24138	IntAct,PINA
2	26085	PINA
2	26270	PINA
2	51013	IntAct,PINA
2	51295	IntAct,PINA
2	54850	PINA
2	55207	IntAct
2	55729	HPRD
2	56729	PINA
2	57559	PINA
2	64223	IntAct,PINA
2	81792	IntAct,PINA
2	84106	IntAct,PINA
2	93185	PINA
2	112398	PINA
2	115704	PINA
2	124912	IntAct,PINA
2	126003	IntAct,PINA
2	126074	PINA
2	140545	IntAct,PINA
2	204851	IntAct,PINA
2	548596	IntAct
2	728642	IntAct,PINA
9	7316	PINA
9	8260	HPRD
9	113000	PINA
9	120892	IntAct
10	324	IntAct
10	351	PINA
10	472	BioGRID,IntAct
10	999	IntAct
10	1029	IntAct
10	1031	IntAct
10	2064	IntAct
10	3161	IntAct
10	3480	IntAct
10	4683	IntAct
10	5888	BioGRID,IntAct
10	6790	IntAct
10	6794	IntAct
10	7490	IntAct
10	8260	HPRD
10	8493	IntAct
10	9530	IntAct
10	79728	IntAct
12	12	HPRD
12	125	IntAct,PINA
12	351	HPRD
12	354	HPRD,INstruct,InnateDB,IntAct,PINA
12	523	IntAct
12	525	PINA
12	1215	HPRD
12	1504	HPRD
12	1506	HPRD
12	1511	HPRD,INstruct
12	1990	HPRD,INstruct
12	1991	HPRD,INstruct,PINA
12	2064	HPRD
12	2153	HPRD
12	3211	HPRD
12	3817	HPRD,INstruct,PINA
12	4001	IntAct,PINA
12	4312	HPRD
12	4485	HPRD
12	4790	IntAct,PINA
12	5309	InnateDB
12	5422	HPRD
12	5684	PINA
12	6444	IntAct,PINA
12	9507	HPRD
12	9622	HPRD
12	10057	IntAct,PINA
12	10319	IntAct,PINA
12	11330	HPRD,INstruct
12	30834	IntAct,PINA
12	64215	BioGRID,HPRD,IntAct
14	1725	PINA
14	3297	PINA
14	5664	PINA
14	6293	HI-II-14_Net
14	6726	PINA
14	6915	BioGRID,PINA
14	7083	IntAct,PINA
14	7158	PINA
14	7316	PINA
14	8553	HI-II-14_Net
14	10226	PINA
14	10537	PINA
14	11345	IntAct,PINA
14	22976	PINA
14	27250	PINA
14	51497	IntAct
14	64127	InnateDB
14	64782	BioGRID,HI-II-14_Net
14	65265	IntAct,PINA
14	81631	IntAct,PINA
15	2147	HPRD
15	4188	HI-II-14_Net,IntAct
15	5566	HPRD
15	7534	BioGRID,HPRD,INstruct,IntAct
15	8553	HI-II-14_Net,IntAct
16	59	PINA
16	440	PINA
16	813	PINA
16	1017	PINA
16	1615	PINA
16	1933	HPRD
16	2113	PINA
16	2335	PINA
16	2617	PINA
16	3297	PINA
16	3320	PINA
16	3326	IntAct,MINT,PINA
16	3376	PINA
16	3676	PINA
16	4234	PINA
16	4677	PINA
16	5529	PINA
16	5859	PINA
16	6726	PINA
16	6777	PINA
16	7163	PINA
16	7165	PINA
16	7316	PINA
16	7317	PINA
16	7412	PINA
16	7453	PINA
16	7534	IntAct,PINA
16	9775	PINA
16	10040	PINA
16	10055	PINA
16	10056	PINA
16	10095	PINA
16	10537	PINA
16	27101	PINA
16	29904	PINA
16	51194	PINA
16	51520	PINA
16	51547	PINA
16	54878	PINA
16	54888	PINA
16	55611	IntAct
16	57037	PINA
16	60491	PINA
16	91039	PINA
18	18	HPRD
18	1398	IntAct,PINA
18	7915	HPRD
18	9531	PINA
19	316	HPRD,PINA
19	335	HPRD,InnateDB
19	998	InnateDB,IntAct,PINA
19	1387	PINA
19	1457	HPRD,KinomeNetworkX,PhosphositePlus
19	1459	PINA
19	1740	HPRD,IntAct,PINA
19	1741	HPRD,IntAct,PINA
19	1956	PhosphositePlus
19	3984	HPRD
19	4008	HPRD
19	4609	IntAct
19	5174	HPRD
19	5360	HPRD
19	5566	HPRD,KinomeNetworkX,PhosphositePlus
19	5987	HPRD
19	6390	HPRD,PINA
19	6640	HPRD,IntAct,PINA
19	6641	HPRD,IntAct
19	6645	BioGRID,HPRD,InnateDB,IntAct,MINT
19	7052	IntAct,PINA
19	7074	HPRD
19	7316	PINA
19	7360	HPRD,PINA
19	7376	InnateDB,IntAct
19	7402	IntAct
19	7508	PINA
19	8517	IntAct,PINA
19	8572	HPRD
19	8772	BioGRID,HPRD,PINA
19	8777	HPRD,IntAct,PINA
19	8825	HPRD
19	9146	PINA
19	9231	HPRD
19	9318	PINA
19	9699	HPRD
19	9826	HPRD,IntAct,PINA
19	10211	InnateDB,IntAct,PINA
19	10558	HPRD,PINA
19	10594	PINA
19	10987	PINA
19	23365	HPRD,IntAct,PINA
19	23673	InnateDB,IntAct,PINA
19	25814	PINA
19	26154	InnateDB,IntAct
19	27295	HPRD
19	50944	HPRD
19	51366	PINA
19	51678	HPRD
19	51735	HPRD
19	55327	HPRD
19	57120	HPRD
19	64130	HPRD,IntAct,PINA
19	84708	PINA
19	284723	HPRD
20	773	IntAct,PINA
20	1213	IntAct
20	3914	IntAct
20	4609	IntAct
20	5097	IntAct
20	5395	IntAct
20	7316	PINA
20	7533	IntAct
20	10981	IntAct
20	23131	IntAct
20	54949	IntAct
20	55069	IntAct
20	55755	HPRD,IntAct,PINA
20	79621	IntAct
21	821	IntAct
21	4899	PINA
21	7316	PINA
21	27074	IntAct,PINA
22	351	PINA
22	2235	BioGRID,HPRD,PINA
22	2307	IntAct
22	3396	PINA
22	4609	IntAct
22	4712	PINA
22	5105	PINA
22	7316	PINA
22	7384	PINA
22	10016	PINA
22	23787	PINA
22	51382	PINA
22	124995	PINA
23	351	BioGRID,PINA
23	752	PINA
23	988	IntAct
23	1457	KinomeNetworkX,PhosphositePlus
23	1653	PINA
23	1660	PINA
23	1781	PINA
23	2287	PINA
23	2335	PINA
23	2869	PINA
23	3068	IntAct,PINA
23	3181	PINA
23	3192	PINA
23	3608	PINA
23	3692	HPRD,PINA
23	3725	IntAct
23	4133	PINA
23	4361	PINA
23	4670	PINA
23	4836	PINA
23	4899	PINA
23	5564	IntAct,PINA
23	5705	PINA
23	5706	PINA
23	5713	PINA
23	5714	PINA
23	5719	PINA
23	5725	PINA
23	5984	PINA
23	6045	InnateDB,PINA
23	6157	PINA
23	6613	PINA
23	6732	IntAct,PINA
23	7316	PINA
23	8453	PINA
23	8726	InnateDB,IntAct,PINA
23	8891	PINA
23	8892	PINA
23	9694	IntAct
23	10528	IntAct
23	10643	PINA
23	10949	PINA
23	10987	PINA
23	22938	IntAct
23	23019	IntAct
23	23421	IntAct,PINA
23	23644	PINA
23	27292	PINA
23	51547	PINA
23	51637	PINA
23	54984	IntAct,PINA
23	55611	IntAct
23	55646	IntAct,PINA
23	55781	PINA
23	64210	PINA
23	79718	PINA
23	81789	IntAct
23	285527	PINA
24	1258	HPRD,PINA
25	25	BioGRID,HPRD,PhosphositePlus
25	27	BioGRID,HPRD,KinomeNetworkX,PINA,PhosphositePlus
25	29	INstruct,IntAct,PINA
25	58	HPRD
25	142	PINA
25	160	PINA
25	163	PINA
25	197	IntAct,PINA
25	274	HPRD
